period,zodiac
1,6
2,11
3,10
4,10
5,8
6,2
7,6
8,10
9,5
10,4
11,12
12,12
13,2
14,3
15,8
16,7
17,9
18,4
19,11
20,1
21,7
22,7
23,12
24,5
25,2
26,8
27,10
28,4
29,2
30,6
31,3
32,7
33,6
34,8
35,4
36,2
37,8
38,7
39,12
40,5
41,1
42,5
43,2
44,8
45,2
46,4
47,4
48,12
49,1
50,11
51,1
52,2
53,3
54,12
55,2
56,12
57,11
58,7
59,10
60,9
61,5
62,12
63,4
64,6
65,5
66,1
67,5
68,11
69,12
70,1
71,12
72,10
73,10
74,10
75,9
76,2
77,5
78,10
79,11
80,3
81,5
82,3
83,5
84,4
85,7
86,12
87,2
88,3
89,1
90,12
91,1
92,6
93,4
94,5
95,11
96,7
97,11
98,5
99,12
100,9
101,3
102,8
103,6
104,1
105,4
106,10
107,1
